Id,LastName,Origin
0,Khoury,Arabic
1,Nahas,Arabic
2,Daher,Arabic
4,Nazari,Arabic
5,Maalouf,Arabic
7,Naifeh,Arabic
8,Guirguis,Arabic
9,Baba,Arabic
10,Sabbagh,Arabic
11,Attia,Arabic
12,Tahan,Arabic
13,Haddad,Arabic
15,Najjar,Arabic
16,Dagher,Arabic
17,Maloof,Arabic
18,Isa,Arabic
19,Asghar,Arabic
20,Nader,Arabic
21,Gaber,Arabic
25,Srour,Arabic
26,Bahar,Arabic
28,Hanania,Arabic
29,Daher,Arabic
31,Nahas,Arabic
32,Saliba,Arabic
33,Shamoon,Arabic
34,Handal,Arabic
35,Baba,Arabic
36,Amari,Arabic
37,Bahar,Arabic
39,Said,Arabic
40,Khouri,Arabic
42,Baba,Arabic
43,Mustafa,Arabic
44,Guirguis,Arabic
45,Sleiman,Arabic
47,Dagher,Arabic
49,Gaber,Arabic
52,Asker,Arabic
53,Nader,Arabic
54,Antar,Arabic
57,Shadid,Arabic
60,Kalb,Arabic
61,Shadid,Arabic
62,Bazzi,Arabic
65,Ghanem,Arabic
67,Isa,Arabic
69,Sarraf,Arabic
70,Sleiman,Arabic
71,Dagher,Arabic
73,Malouf,Arabic
75,Naser,Arabic
76,Saliba,Arabic
77,Shamon,Arabic
78,Malouf,Arabic
79,Kalb,Arabic
80,Daher,Arabic
81,Maalouf,Arabic
82,Wasem,Arabic
83,Kanaan,Arabic
84,Naifeh,Arabic
86,Moghadam,Arabic
87,Masih,Arabic
88,Sleiman,Arabic
90,Cham,Arabic
91,Assaf,Arabic
92,Quraishi,Arabic
93,Shalhoub,Arabic
94,Sabbag,Arabic
95,Mifsud,Arabic
96,Gaber,Arabic
97,Shammas,Arabic
98,Tannous,Arabic
99,Sleiman,Arabic
103,Cham,Arabic
104,Ghanem,Arabic
105,Ghanem,Arabic
106,Naser,Arabic
107,Baba,Arabic
108,Shamon,Arabic
109,Almasi,Arabic
111,Quraishi,Arabic
112,Bata,Arabic
114,Shamoun,Arabic
115,Deeb,Arabic
116,Touma,Arabic
117,Asfour,Arabic
118,Deeb,Arabic
120,Naifeh,Arabic
122,Bazzi,Arabic
123,Shamoun,Arabic
124,Nahas,Arabic
125,Haddad,Arabic
127,Kouri,Arabic
129,Toma,Arabic
130,Halabi,Arabic
131,Nazari,Arabic
132,Saliba,Arabic
133,Fakhoury,Arabic
134,Hadad,Arabic
135,Baba,Arabic
136,Mansour,Arabic
137,Sayegh,Arabic
138,Antar,Arabic
141,Shalhoub,Arabic
142,Sarraf,Arabic
143,Amari,Arabic
144,Wasem,Arabic
145,Ganim,Arabic
146,Tuma,Arabic
147,Fakhoury,Arabic
148,Hadad,Arabic
149,Hakimi,Arabic
150,Nader,Arabic
151,Said,Arabic
152,Ganim,Arabic
154,Ganem,Arabic
155,Tuma,Arabic
156,Boutros,Arabic
157,Aswad,Arabic
158,Sarkis,Arabic
159,Daher,Arabic
160,Toma,Arabic
161,Boutros,Arabic
162,Kanaan,Arabic
163,Antar,Arabic
164,Gerges,Arabic
165,Kouri,Arabic
167,Wasem,Arabic
168,Dagher,Arabic
169,Naifeh,Arabic
170,Bishara,Arabic
171,Ba,Arabic
172,Cham,Arabic
173,Kalb,Arabic
174,Bazzi,Arabic
175,Bitar,Arabic
176,Hadad,Arabic
177,Moghadam,Arabic
179,Shamoun,Arabic
181,Atiyeh,Arabic
182,Koury,Arabic
183,Nahas,Arabic
184,Kouri,Arabic
185,Maroun,Arabic
186,Nassar,Arabic
187,Sayegh,Arabic
188,Haik,Arabic
189,Ghanem,Arabic
190,Sayegh,Arabic
192,Cham,Arabic
194,Touma,Arabic
195,Antoun,Arabic
197,Bata,Arabic
198,Botros,Arabic
199,Shammas,Arabic
200,Ganim,Arabic
202,Seif,Arabic
203,Moghadam,Arabic
204,Ba,Arabic
205,Tannous,Arabic
206,Bazzi,Arabic
207,Seif,Arabic
209,Hadad,Arabic
210,Quraishi,Arabic
212,Essa,Arabic
215,Boutros,Arabic
216,Nahas,Arabic
218,Kanaan,Arabic
219,Sayegh,Arabic
220,Said,Arabic
221,Botros,Arabic
223,Toma,Arabic
224,Bata,Arabic
225,Atiyeh,Arabic
226,Halabi,Arabic
227,Tannous,Arabic
228,Kouri,Arabic
229,Shamoon,Arabic
230,Kassis,Arabic
231,Haddad,Arabic
233,Mansour,Arabic
237,Basara,Arabic
238,Rahal,Arabic
239,Mansour,Arabic
